# r_pc rho_Msun_pc3 sigma1d_kms pressure_rho_sigma2 N_scatter_per_orbit
1.148497860620e-06 4.308234625825e+10 7.740854968247e+04 2.581530189102e+20 1.954671964073e-08
1.156523474248e-06 4.263467484877e+10 7.713949654324e+04 2.536977148423e+20 1.974174058724e-08
1.164605170240e-06 4.219165522200e+10 7.687137856708e+04 2.493193021304e+20 1.993870194474e-08
1.172743340494e-06 4.175323904097e+10 7.660419250358e+04 2.450164537537e+20 2.013762296076e-08
1.180938379649e-06 4.131937847098e+10 7.633793511366e+04 2.407878655939e+20 2.033852307313e-08
1.189190685098e-06 4.089002617436e+10 7.607260316945e+04 2.366322560393e+20 2.054142191178e-08
1.197500657016e-06 4.046513530536e+10 7.580819345436e+04 2.325483655970e+20 2.074633930070e-08
1.205868698371e-06 4.004465950498e+10 7.554470276292e+04 2.285349565109e+20 2.095329525982e-08
1.214295214947e-06 3.962855289597e+10 7.528212790084e+04 2.245908123865e+20 2.116231000695e-08
1.222780615365e-06 3.921677007777e+10 7.502046568493e+04 2.207147378222e+20 2.137340395971e-08
1.231325311100e-06 3.880926612158e+10 7.475971294304e+04 2.169055580474e+20 2.158659773751e-08
1.239929716503e-06 3.840599656548e+10 7.449986651408e+04 2.131621185659e+20 2.180191216353e-08
1.248594248822e-06 3.800691740952e+10 7.424092324791e+04 2.094832848063e+20 2.201936826675e-08
1.257319328218e-06 3.761198511100e+10 7.398288000537e+04 2.058679417782e+20 2.223898728393e-08
1.266105377790e-06 3.722115657965e+10 7.372573365819e+04 2.023149937339e+20 2.246079066171e-08
1.274952823591e-06 3.683438917294e+10 7.346948108899e+04 1.988233638367e+20 2.268480005863e-08
1.283862094656e-06 3.645164069148e+10 7.321411919121e+04 1.953919938344e+20 2.291103734723e-08
1.292833623012e-06 3.607286937434e+10 7.295964486909e+04 1.920198437384e+20 2.313952461618e-08
1.301867843711e-06 3.569803389455e+10 7.270605503765e+04 1.887058915087e+20 2.337028417236e-08
1.310965194840e-06 3.532709335456e+10 7.245334662261e+04 1.854491327440e+20 2.360333854306e-08
1.320126117551e-06 3.496000728181e+10 7.220151656038e+04 1.822485803774e+20 2.383871047810e-08
1.329351056076e-06 3.459673562428e+10 7.195056179802e+04 1.791032643773e+20 2.407642295205e-08
1.338640457753e-06 3.423723874611e+10 7.170047929321e+04 1.760122314529e+20 2.431649916646e-08
1.347994773046e-06 3.388147742334e+10 7.145126601420e+04 1.729745447662e+20 2.455896255202e-08
1.357414455566e-06 3.352941283957e+10 7.120291893975e+04 1.699892836470e+20 2.480383677090e-08
1.366899962094e-06 3.318100658174e+10 7.095543505917e+04 1.670555433147e+20 2.505114571897e-08
1.376451752603e-06 3.283622063594e+10 7.070881137220e+04 1.641724346036e+20 2.530091352814e-08
1.386070290281e-06 3.249501738327e+10 7.046304488903e+04 1.613390836937e+20 2.555316456863e-08
1.395756041551e-06 3.215735959574e+10 7.021813263021e+04 1.585546318457e+20 2.580792345136e-08
1.405509476096e-06 3.182321043219e+10 6.997407162667e+04 1.558182351406e+20 2.606521503032e-08
1.415331066883e-06 3.149253343427e+10 6.973085891967e+04 1.531290642242e+20 2.632506440492e-08
1.425221290182e-06 3.116529252249e+10 6.948849156073e+04 1.504863040556e+20 2.658749692243e-08
1.435180625591e-06 3.084145199225e+10 6.924696661163e+04 1.478891536603e+20 2.685253818043e-08
1.445209556060e-06 3.052097650996e+10 6.900628114435e+04 1.453368258870e+20 2.712021402924e-08
