# r[pc] rho[Msun/pc3] sigma[km/s] N gamma
2.566031667702204899e+01 2.902251535980506336e+00 3.131283095027711383e+01 9.774719689111966758e+00 1.126411103875158082e+00
2.606295958514582267e+01 2.851796781501326539e+00 3.130459053711360795e+01 9.755500501594928764e+00 5.724625518550396919e-01
2.645877777274755616e+01 2.850241906452242624e+00 3.130433423060973297e+01 9.898257559384758153e+00 3.660338004288377078e-02
2.685403260119198876e+01 2.848677857009373149e+00 3.130407630758502080e+01 1.004061008428088364e+01 3.732009378204281802e-02
2.726066366239286509e+01 2.847067419631989615e+00 3.130381062419310112e+01 1.018688554221467335e+01 3.811830424548645624e-02
2.768321340658099317e+01 2.845376625538697191e+00 3.130353156060224862e+01 1.033864232186591536e+01 3.929600590592485787e-02
2.811872890089599153e+01 2.843601414555836815e+00 3.130323842527501910e+01 1.049473934732944613e+01 4.067739778213308455e-02
2.856392032845110052e+01 2.841753695929115864e+00 3.130293316321049346e+01 1.065397067408377119e+01 4.206043125197567178e-02
2.901687240488201169e+01 2.839843291405261816e+00 3.130261737754389983e+01 1.081564006500739872e+01 4.341359508042330617e-02
2.947700451911925512e+01 2.837874355686526684e+00 3.130229173678872101e+01 1.097953031185255490e+01 4.476282699120304187e-02
2.994418572566902270e+01 2.835847252351045178e+00 3.130195628286839593e+01 1.114557793286521203e+01 4.613681394815216663e-02
3.041848517636864813e+01 2.833760917653561862e+00 3.130161082082062407e+01 1.131378807447300971e+01 4.754734300975371752e-02
3.089999214889955326e+01 2.831613774890110236e+00 3.130125506958749781e+01 1.148417061297094044e+01 4.899973018821413007e-02
3.138882874659818611e+01 2.829404090886001644e+00 3.130088872081327267e+01 1.165674613035084484e+01 5.049621295191286663e-02
3.188510141920417240e+01 2.827130056048748230e+00 3.130051145197997542e+01 1.183152813807628867e+01 5.203839688325473389e-02
3.238893699897334244e+01 2.824789808407178082e+00 3.130012293028640258e+01 1.200853651183887116e+01 5.362750712959751809e-02
3.290045387369115559e+01 2.822381418162843936e+00 3.129972280997510126e+01 1.218778666935162214e+01 5.526529646003552898e-02
3.341977681026700964e+01 2.819902917903353678e+00 3.129931073723676249e+01 1.236929515017473058e+01 5.695285679181694150e-02
3.394703602168057444e+01 2.817352269263885933e+00 3.129888634455276275e+01 1.255307906810628538e+01 5.869191964926301353e-02
3.448235933595576341e+01 2.814727383182030085e+00 3.129844925393333099e+01 1.273915324349333922e+01 6.048398567426005457e-02
3.502588086327874350e+01 2.812026116362871697e+00 3.129799907619851496e+01 1.292753333811844207e+01 6.233053206514682643e-02
