energy_bins,angular_bins,reservoir_radius_pc,model,metric,unit,combined_value,seed_count,seed_full_range_fraction_of_mean,seed_gate,numerical_solver_gate
8,17,1.295141053175,direct,mass,Msun/Myr,8.223767118835065,2,0.03500656318909135,True,True
8,17,1.295141053175,direct,capture_binding_energy,Msun (km/s)^2/Myr,110684462.21368538,2,0.06954690948698529,True,True
8,17,1.295141053175,immediate,mass,Msun/Myr,9.132194691757139,2,0.03322939503857118,True,True
8,17,1.295141053175,immediate,capture_binding_energy,Msun (km/s)^2/Myr,110246504.23800606,2,0.06905358006106703,True,True
12,17,1.295141053175,direct,mass,Msun/Myr,8.993819496237364,2,0.03274449482383149,True,True
12,17,1.295141053175,direct,capture_binding_energy,Msun (km/s)^2/Myr,116964820.95884217,2,0.04112709562974229,True,True
12,17,1.295141053175,immediate,mass,Msun/Myr,9.939071109855938,2,0.03135804715399285,True,True
12,17,1.295141053175,immediate,capture_binding_energy,Msun (km/s)^2/Myr,116619403.53044292,2,0.040901914370830426,True,True
16,17,1.295141053175,direct,mass,Msun/Myr,10.036722691623671,2,0.026283624074732254,True,True
16,17,1.295141053175,direct,capture_binding_energy,Msun (km/s)^2/Myr,134849392.3387084,2,0.025122692719743947,True,True
16,17,1.295141053175,immediate,mass,Msun/Myr,11.030320382506572,2,0.02551162788505418,True,True
16,17,1.295141053175,immediate,capture_binding_energy,Msun (km/s)^2/Myr,134501328.62015557,2,0.02494181851086979,True,True
16,33,1.295141053175,direct,mass,Msun/Myr,9.688785252650678,2,0.028506916355146288,True,True
16,33,1.295141053175,direct,capture_binding_energy,Msun (km/s)^2/Myr,102217029.75311619,2,0.027301851504572854,True,True
16,33,1.295141053175,immediate,mass,Msun/Myr,10.675182020348666,2,0.02772146972405181,True,True
16,33,1.295141053175,immediate,capture_binding_energy,Msun (km/s)^2/Myr,101976866.33997506,2,0.026890792046822785,True,True
16,33,1.377343015078,direct,mass,Msun/Myr,9.866251471882656,2,0.01047708826605785,True,True
16,33,1.377343015078,direct,capture_binding_energy,Msun (km/s)^2/Myr,103790827.68034181,2,0.024574014090050063,True,True
16,33,1.377343015078,immediate,mass,Msun/Myr,10.876927880711573,2,0.010244421262165184,True,True
16,33,1.377343015078,immediate,capture_binding_energy,Msun (km/s)^2/Myr,103539826.25402032,2,0.024120386109479593,True,True
16,33,1.447927911662,direct,mass,Msun/Myr,10.030984355597932,2,0.01717513161934701,True,True
16,33,1.447927911662,direct,capture_binding_energy,Msun (km/s)^2/Myr,100722039.19393227,2,0.005494950934224996,True,True
16,33,1.447927911662,immediate,mass,Msun/Myr,11.06848884479837,2,0.015805026734315088,True,True
16,33,1.447927911662,immediate,capture_binding_energy,Msun (km/s)^2/Myr,100538212.81178437,2,0.004973828966895975,True,True
24,33,1.295141053175,direct,mass,Msun/Myr,11.434789531015355,2,0.03928611030943353,True,True
24,33,1.295141053175,direct,capture_binding_energy,Msun (km/s)^2/Myr,126638396.70047025,2,0.05508874953524298,True,True
24,33,1.295141053175,immediate,mass,Msun/Myr,12.514570627135052,2,0.0376227681553544,True,True
24,33,1.295141053175,immediate,capture_binding_energy,Msun (km/s)^2/Myr,126381431.03235479,2,0.05465938711614729,True,True
32,33,1.295141053175,direct,mass,Msun/Myr,12.262727819306399,2,0.030870575676246258,True,True
32,33,1.295141053175,direct,capture_binding_energy,Msun (km/s)^2/Myr,142445709.3324425,2,0.014781422882807344,True,True
32,33,1.295141053175,immediate,mass,Msun/Myr,13.35718306770836,2,0.029795060325515623,True,True
32,33,1.295141053175,immediate,capture_binding_energy,Msun (km/s)^2/Myr,142131496.17123237,2,0.014577787370436177,True,True
32,65,1.295141053175,direct,mass,Msun/Myr,11.86499940722722,2,0.03144772156674667,True,True
32,65,1.295141053175,direct,capture_binding_energy,Msun (km/s)^2/Myr,112575803.49686776,2,0.02939592585859473,True,True
32,65,1.295141053175,immediate,mass,Msun/Myr,12.947664554608656,2,0.030368312540996575,True,True
32,65,1.295141053175,immediate,capture_binding_energy,Msun (km/s)^2/Myr,112455045.30507898,2,0.028854905988536808,True,True
32,65,1.377343015078,direct,mass,Msun/Myr,12.266971144255077,2,0.0027665382993710633,True,True
32,65,1.377343015078,direct,capture_binding_energy,Msun (km/s)^2/Myr,117931149.8096773,2,0.003302232644912442,True,True
32,65,1.377343015078,immediate,mass,Msun/Myr,13.385941705686726,2,0.0018367274666715836,True,True
32,65,1.377343015078,immediate,capture_binding_energy,Msun (km/s)^2/Myr,117778238.70827666,2,0.003182433978389634,True,True
