branch,tau_relax,time_myr,rho_inner_mean_msun_pc3,sigma_inner_1d_kms,r_inner_pc,inner_shell_mass_msun,rho_c_msun_pc3,sigma_c_kms,r0_pc,M_bh_msun,L_inner_msun_kms2_per_myr,captured_mass_msun,E_boundary_msun_kms2,E_conduction_budget_error_msun_kms2,E_total_code,n_conduction,lmfp_scaleheight_factor_inner,lmfp_scaleheight_factor_min
control,0.0,0.0,5.53464172639184,38.78324304791049,20.671968517391097,204797.0322016099,5.53464172639184,38.78324304791049,20.671968517391097,3999999.999999999,0.0,0.0,0.0,0.0,-0.2237668699588254,0,0.1331467239565154,0.11775584168612098
control,0.0020000872316299897,0.3704439158368297,7.189138900856854,36.70147685306481,18.946063903806518,204797.0322016099,7.189138900856854,36.70147685306481,18.946063903806518,3999999.999999999,0.0,0.0,0.0,1.7804638856448742e-10,-0.22376682610070014,18155,0.13314641845005454,0.10637868555421397
control,0.004000004559075835,0.7408563630605427,8.48807413843377,35.73388725008985,17.925644312802902,204797.0322016099,8.48807413843377,35.73388725008985,17.925644312802902,3999999.999999999,0.0,0.0,0.0,-2.6745165664193387e-12,-0.2237668161754997,39610,0.13314631754841158,0.10117370437691352
control,0.006000073784689148,1.1112969439331664,9.605570267577686,35.15058863878761,17.201647751800728,204797.0322016099,9.605570267577686,35.15058863878761,17.201647751800728,3999999.999999999,0.0,0.0,0.0,-1.269440184561179e-10,-0.22376681760590547,63836,0.13314626844938324,0.09774076331185574
control,0.008000030576466288,1.481716700498787,10.609670641759832,34.75625811272316,16.64091099869144,204797.0322016099,10.609670641759832,34.75625811272316,16.64091099869144,3999999.999999999,0.0,0.0,0.0,-1.6324102900038036e-10,-0.22376682433583553,90523,0.13314623976360532,0.09518675570220697
control,0.010000051107849035,1.8521482625240502,11.536977313903487,34.47057380772132,16.18255265724495,204797.0322016099,11.536977313903487,34.47057380772132,16.18255265724495,3999999.999999999,0.0,0.0,0.0,-1.5817855121394374e-10,-0.22376683394796854,119473,0.13314622102155416,0.09315166818948263
control,0.012000025054968376,2.222571196497157,12.409896606457457,34.253742750878544,15.793860730830735,204797.0322016099,12.409896606457457,34.253742750878544,15.793860730830735,3999999.999999999,0.0,0.0,0.0,-6.404511992086309e-11,-0.2237668452823101,150546,0.13314620780767789,0.09145556748007654
control,0.014000044108736646,2.5930024848477102,13.243533145946548,34.08354875552405,15.455262718409008,204797.0322016099,13.243533145946548,34.08354875552405,15.455262718409008,3999999.999999999,0.0,0.0,0.0,-1.2837679518812826e-10,-0.22376685771780722,183645,0.13314619795890592,0.0899958926292673
control,0.016000020503093376,2.963425872083148,14.048594807802429,33.94655698784243,15.154212551278471,204797.0322016099,14.048594807802429,33.94655698784243,15.154212551278471,3999999.999999999,0.0,0.0,0.0,-1.285200728613293e-10,-0.2237668708952382,218698,0.13314619030111444,0.08870910492060584
control,0.018000016508342268,3.3338528915280063,14.833142818814814,33.83411582638966,14.882181703245575,204797.0322016099,14.833142818814814,33.83411582638966,14.882181703245575,3999999.999999999,0.0,0.0,0.0,-1.38573389597602e-10,-0.22376688459741315,255656,0.13314618414472326,0.08755312677537815
